,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
1677,0.17566666666666667,4,30,55,17,61,65,14,68,37,36,49,22,43
1612,0.17566666666666667,1,34,19,13,17,44,14,12,19,22,31,47,30
971,0.17466666666666666,1,70,74,26,76,87,30,111,43,39,68,89,69
202,0.17466666666666666,3,25,31,20,33,32,14,24,32,27,42,26,39
628,0.17433333333333334,2,33,15,15,15,21,15,14,15,17,14,15,12
855,0.17433333333333334,2,19,28,20,27,54,21,45,27,4,49,53,43
3137,0.17333333333333334,2,33,4,18,3,33,18,5,6,20,26,11,24
585,0.173,2,33,2,10,1,27,14,1,4,20,16,34,21
157,0.17233333333333334,1,20,1,16,1,32,8,2,5,37,12,43,30
626,0.172,2,26,5,13,6,22,13,3,6,8,18,54,33
1252,0.172,2,48,32,26,31,55,19,42,22,33,45,61,50
1669,0.171,1,24,2,16,2,51,17,8,6,59,26,42,35
3178,0.17033333333333334,6,35,0,9,2,28,11,2,2,2,12,34,23
1049,0.16966666666666666,3,35,4,20,2,26,14,3,7,21,22,30,29
275,0.16933333333333334,9,32,9,16,8,33,20,2,7,18,29,45,39
800,0.16866666666666666,3,37,5,15,3,47,20,4,20,41,17,33,31
1331,0.168,5,37,21,15,26,42,11,27,15,38,38,31,37
621,0.16766666666666666,2,31,7,6,2,32,12,5,7,7,19,39,33
615,0.16733333333333333,4,29,1,13,3,27,8,2,2,20,11,47,24
654,0.16666666666666666,1,41,1,12,2,31,15,2,7,21,18,26,15
843,0.16666666666666666,4,25,2,10,2,15,18,1,5,14,21,26,21
262,0.16633333333333333,4,36,6,21,3,38,20,4,20,41,28,46,42
1287,0.166,1,47,14,15,19,64,24,22,25,23,51,66,53
108,0.166,2,27,23,17,19,33,13,17,16,20,27,15,27
722,0.165,3,28,6,16,4,43,10,1,3,36,17,33,34
53,0.165,1,23,4,9,2,18,13,5,13,13,17,55,28
634,0.16466666666666666,0,16,3,12,2,14,10,2,6,6,7,11,14
1728,0.16466666666666666,8,31,5,12,11,48,15,9,15,45,17,71,35
2378,0.16466666666666666,1,22,3,14,2,27,11,2,1,4,17,10,26
1060,0.16333333333333333,1,35,3,15,2,40,11,2,5,16,12,36,33
942,0.16333333333333333,2,27,2,17,3,26,18,6,16,25,15,38,24
1651,0.163,2,26,2,7,2,27,16,2,4,7,18,41,27
2357,0.16266666666666665,2,24,4,13,2,21,9,2,9,17,9,8,14
648,0.16266666666666665,0,32,14,13,18,36,11,11,12,24,36,34,30
820,0.16233333333333333,5,17,6,19,6,16,20,1,8,31,19,28,22
1829,0.16233333333333333,0,25,16,12,16,45,12,7,12,25,17,42,21
178,0.16166666666666665,3,11,0,12,3,8,10,1,3,20,10,12,16
1604,0.161,2,23,8,18,12,29,18,3,10,22,21,21,33
2798,0.161,2,18,8,17,8,15,19,3,14,15,19,26,36
217,0.16033333333333333,1,27,18,25,18,29,10,17,16,33,36,49,51
1663,0.16,3,27,78,13,80,37,12,100,42,44,51,48,45
748,0.16,1,22,42,10,37,39,16,62,38,57,39,41,36
2805,0.15966666666666668,4,20,9,19,9,17,16,2,6,47,9,57,25
762,0.15966666666666668,3,12,0,13,0,12,12,1,2,5,5,4,6
340,0.15933333333333333,1,26,37,12,31,25,14,27,23,26,24,37,35
2055,0.15933333333333333,6,16,7,18,6,43,11,6,12,17,32,70,39
1838,0.15933333333333333,2,34,31,15,33,33,22,37,27,19,33,42,25
734,0.159,0,26,15,21,15,32,15,2,14,14,16,42,31
703,0.15866666666666668,3,18,65,13,54,14,13,48,20,25,25,26,27
767,0.15866666666666668,6,26,15,13,15,32,17,9,17,11,28,28,29
213,0.15833333333333333,5,22,7,16,6,23,10,4,12,13,21,16,23
111,0.158,4,33,12,12,21,34,27,33,25,14,26,19,19
16,0.158,2,44,72,22,68,75,18,106,50,34,57,72,50
584,0.15733333333333333,2,17,6,12,8,16,10,0,4,21,15,19,23
2361,0.15733333333333333,2,20,1,11,1,20,13,0,3,17,13,8,17
355,0.15733333333333333,1,30,20,14,18,47,19,10,15,29,39,45,38
1648,0.157,1,27,41,8,44,36,16,50,30,7,43,39,42
278,0.156,2,20,5,8,3,27,12,1,9,27,18,56,35
719,0.15566666666666668,1,19,3,13,4,16,15,2,4,6,5,10,12
661,0.15566666666666668,2,27,26,16,26,23,10,39,26,35,27,38,25
6207,0.15566666666666668,1,46,35,22,34,70,20,35,29,43,51,74,58
148,0.15533333333333332,2,17,1,13,1,21,13,0,1,26,16,44,31
1637,0.15533333333333332,3,19,9,11,9,22,14,3,15,27,16,19,13
5014,0.155,2,17,1,9,3,14,11,2,7,10,6,20,6
1383,0.15466666666666667,3,19,20,11,17,14,17,7,23,30,14,5,13
981,0.15466666666666667,3,18,5,10,3,19,18,2,9,17,16,17,21
608,0.154,3,18,1,11,0,19,11,2,0,8,9,6,11
3102,0.154,2,18,1,12,1,27,8,0,1,10,12,17,19
1594,0.15366666666666667,1,15,2,10,1,12,11,0,0,12,5,9,8
577,0.15366666666666667,3,18,16,14,15,22,19,1,5,13,29,49,23
221,0.15266666666666667,1,19,6,11,9,38,8,5,7,57,16,25,24
1654,0.15266666666666667,2,20,35,7,29,25,1,33,20,4,18,12,15
1646,0.15266666666666667,1,27,81,13,76,32,11,92,46,25,49,46,28
190,0.15266666666666667,6,19,3,17,5,19,7,1,3,26,23,38,31
992,0.15266666666666667,3,13,0,12,0,19,13,0,2,11,9,14,10
578,0.15233333333333332,2,20,3,9,4,20,16,2,10,20,15,11,9
1305,0.15233333333333332,3,22,3,14,4,19,14,0,4,5,9,14,21
1636,0.15233333333333332,3,12,24,13,15,22,10,10,10,29,27,33,22
2356,0.152,4,27,1,17,2,32,14,5,9,39,20,59,43
1335,0.15166666666666667,3,16,1,10,1,12,11,0,3,15,10,11,16
281,0.15166666666666667,2,26,9,19,13,22,14,7,11,10,34,50,38
88,0.15166666666666667,1,19,4,11,7,20,4,1,4,16,9,6,17
2048,0.15133333333333332,1,16,37,14,39,43,16,84,28,63,35,40,42
8,0.151,1,32,29,17,29,43,19,49,35,29,44,52,40
183,0.151,6,35,40,22,41,24,17,41,25,22,33,50,31
1022,0.151,0,22,15,14,12,28,14,2,16,20,17,40,28
