,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
1366,0.041390728476821195,5,5,5,8,5,5,5,5,5,5,5,5,5
1919,0.041390728476821195,9,2,3,4,3,2,8,3,3,2,2,2,3
1710,0.041225165562913904,14,2,1,7,1,2,7,1,2,2,2,3,3
624,0.041225165562913904,8,1,2,3,2,1,1,2,1,1,2,1,2
1524,0.04105960264900662,11,8,7,12,7,8,11,8,7,8,9,8,9
1536,0.04105960264900662,11,4,10,10,10,5,6,9,6,6,10,8,10
1865,0.04105960264900662,10,1,3,3,2,1,4,3,2,2,2,2,2
1425,0.040894039735099336,11,2,4,6,4,3,8,11,4,3,8,4,6
1367,0.040894039735099336,15,5,8,9,5,5,10,7,7,5,7,9,12
973,0.04072847682119205,6,4,7,10,6,4,15,9,8,4,4,4,3
1690,0.04072847682119205,10,2,3,5,4,2,8,8,4,3,3,4,4
1652,0.04072847682119205,9,5,6,8,5,4,19,9,7,5,6,6,7
1991,0.04056291390728477,7,5,5,7,5,6,6,6,6,5,7,7,8
1357,0.04056291390728477,10,1,1,3,1,1,1,2,1,1,1,1,1
1608,0.04056291390728477,16,4,17,7,13,4,9,9,15,4,5,4,4
2353,0.04056291390728477,7,4,4,4,4,4,5,5,4,3,5,4,8
2489,0.04056291390728477,8,5,29,14,32,5,28,30,28,7,13,5,7
1284,0.04039735099337748,10,5,31,13,41,5,26,28,36,6,7,5,6
1222,0.04039735099337748,14,0,0,0,0,0,0,0,0,0,0,0,0
1471,0.04039735099337748,15,3,10,3,8,3,7,9,8,3,4,3,3
2379,0.04039735099337748,6,3,3,3,3,3,4,4,3,3,3,3,3
1942,0.0402317880794702,11,1,12,12,25,1,20,16,22,1,7,1,3
239,0.040066225165562915,9,2,14,11,13,2,12,6,19,3,2,3,2
1852,0.040066225165562915,9,1,1,5,1,1,4,4,1,1,1,1,2
1811,0.040066225165562915,13,2,1,4,1,2,2,1,1,2,5,3,9
1987,0.040066225165562915,8,3,15,7,22,3,12,16,13,3,3,2,3
1894,0.040066225165562915,13,3,6,2,4,4,7,6,3,3,7,3,5
1281,0.03990066225165563,10,5,12,15,18,5,17,17,20,7,9,5,12
1286,0.03990066225165563,14,1,14,8,12,1,9,8,15,1,2,2,3
1879,0.03990066225165563,3,7,8,8,7,6,10,8,6,6,9,8,9
1507,0.03990066225165563,15,4,10,10,11,4,10,9,8,6,6,5,5
1386,0.039735099337748346,9,4,4,7,5,4,5,5,4,4,4,4,6
1598,0.039735099337748346,12,0,0,1,0,0,0,1,0,0,0,1,0
1321,0.03956953642384106,8,0,0,1,0,0,3,0,0,0,2,0,1
