movie,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
1042,0.13427152317880794,11,0,0,13,0,0,0,0,0,0,0,0,1
1181,0.1339403973509934,9,0,0,1,0,0,3,0,0,0,43,0,0
188,0.1339403973509934,8,0,0,0,0,0,6,20,0,0,0,31,42
762,0.1336092715231788,8,0,0,2,0,0,1,14,0,0,23,18,0
93,0.13344370860927152,9,0,0,4,0,0,9,0,0,0,0,0,25
1344,0.13294701986754967,10,0,0,9,0,0,5,11,0,0,0,0,0
122,0.13294701986754967,10,0,0,14,0,0,98,11,0,0,0,0,0
678,0.13278145695364238,10,0,0,8,0,0,2,0,0,0,16,0,12
163,0.13278145695364238,10,0,0,3,0,0,0,0,0,0,0,4,46
799,0.13278145695364238,11,0,0,3,0,0,10,12,0,0,2,0,0
83,0.13278145695364238,11,0,0,3,0,0,5,0,0,0,0,0,1
240,0.13228476821192053,4,0,0,1,0,0,0,0,0,0,0,1,33
1120,0.13211920529801324,10,0,0,22,0,0,29,0,0,0,28,0,0
1149,0.1316225165562914,11,0,0,7,0,0,3,0,0,0,87,0,26
860,0.13129139072847681,9,0,0,0,0,0,0,1,0,0,0,0,10
641,0.13112582781456952,7,0,0,2,0,0,0,1,0,0,2,17,3
866,0.13096026490066226,7,0,0,3,0,0,1,2,0,0,3,6,203
349,0.13096026490066226,5,0,0,7,0,0,29,0,0,0,0,0,1
865,0.13062913907284768,7,0,0,7,0,0,0,0,0,0,14,2,114
754,0.13062913907284768,11,0,0,1,0,0,43,5,0,0,0,2,21
527,0.13013245033112583,12,0,0,17,0,0,23,4,0,0,10,0,0
69,0.13013245033112583,10,0,0,1,0,0,2,8,0,0,0,0,0
1297,0.1293046357615894,10,0,0,16,0,0,3,9,0,0,13,0,3
1194,0.1291390728476821,9,0,0,1,0,0,7,0,0,0,90,30,76
98,0.12897350993377482,9,0,0,0,0,0,0,0,0,0,0,20,30
919,0.12864238410596027,14,0,0,2,0,0,1,0,0,0,0,0,80
575,0.12864238410596027,13,0,0,0,0,3,0,0,0,0,0,2,52
715,0.12847682119205298,13,0,0,2,0,0,0,0,0,0,0,0,80
489,0.12814569536423842,8,0,0,0,0,0,4,3,0,0,0,0,0
1098,0.12798013245033113,14,0,0,7,0,0,10,0,0,0,4,0,13
94,0.12798013245033113,9,0,0,2,0,0,0,0,0,0,0,9,13
109,0.12781456953642384,8,0,0,5,0,0,9,6,0,0,134,0,48
728,0.12764900662251655,6,0,0,5,0,0,0,17,0,0,11,0,0
765,0.1271523178807947,7,0,0,7,0,0,43,18,0,0,15,0,0
657,0.12682119205298012,8,0,0,4,0,0,20,4,0,0,44,0,33
1135,0.12665562913907286,8,0,0,12,0,0,11,10,0,0,3,0,3
1251,0.12665562913907286,13,0,0,4,0,0,3,0,0,0,0,0,0
1240,0.12665562913907286,9,0,0,34,0,0,9,0,0,1,172,8,88
829,0.12665562913907286,4,0,0,5,0,0,1,0,0,0,1,0,9
8,0.12632450331125827,8,0,0,10,0,0,5,0,0,0,77,1,60
414,0.12599337748344372,8,0,0,18,0,0,80,53,0,0,143,0,22
461,0.12582781456953643,10,0,0,3,0,0,5,0,0,0,0,0,0
292,0.1251655629139073,12,0,0,0,0,0,33,1,0,0,0,0,0
212,0.1251655629139073,8,0,0,19,0,0,7,6,0,0,1,0,8
332,0.125,6,0,0,1,0,0,1,0,0,0,0,0,7
542,0.12433774834437086,18,0,0,22,0,0,12,0,0,0,4,0,1
726,0.12433774834437086,13,0,0,27,1,0,78,225,0,0,208,3,147
925,0.12433774834437086,9,0,0,1,0,0,6,7,0,0,17,0,2
1270,0.12433774834437086,11,0,0,15,0,0,6,1,0,0,0,0,14
651,0.12417218543046357,8,0,0,0,0,0,9,2,0,0,0,0,2
1586,0.12417218543046357,9,0,0,14,0,0,9,0,0,0,0,0,0
922,0.12334437086092716,7,0,0,6,0,0,3,0,0,0,0,0,12
1001,0.12317880794701987,12,0,0,12,0,0,9,0,0,0,12,0,0
798,0.12317880794701987,8,0,0,11,0,0,0,1,0,0,0,0,0
720,0.1228476821192053,7,0,0,7,0,0,3,0,0,0,0,0,0
1041,0.12268211920529801,9,0,0,6,0,0,9,2,0,0,3,17,0
990,0.12268211920529801,11,0,0,3,0,0,14,4,0,0,3,48,83
1313,0.12251655629139073,12,0,0,20,0,0,20,0,0,0,0,0,0
482,0.12218543046357616,7,0,0,1,0,0,12,1,0,0,3,0,20
630,0.12185430463576159,4,0,0,1,0,0,0,0,0,0,0,0,0
375,0.12152317880794702,11,0,0,3,0,0,10,10,0,0,0,0,4
1232,0.12135761589403973,8,0,0,9,0,0,9,0,0,0,0,0,0
